,TractCode,Less_HS_Proportion_2015,HS_Proportion_2015,Some_College_Proportion_2015,Bachelors_Proportion_2015,Less_HS_Proportion_2017,HS_Proportion_2017,Some_College_Proportion_2017,Bachelors_Proportion_2017,Less_HS_Proportion_2019,HS_Proportion_2019,Some_College_Proportion_2019,Bachelors_Proportion_2019
914,47037019115,1.34,9.64,24.44,64.58,4.07,14.62,19.44,61.87,4.16,12.94,20.41,62.49
915,47037019005,35.59,26.6,24.05,13.76,25.67,33.32,29.11,11.9,23.53,35.65,33.18,7.64
916,47037019600,19.68,22.69,29.24,28.39,18.41,19.61,29.9,32.08,21.91,24.01,24.86,29.22
917,47037019300,44.73,21.84,20.88,12.56,34.39,23.86,31.59,10.16,23.19,28.51,36.0,12.3
918,47009011002,11.6,32.05,34.1,22.25,9.55,33.07,33.01,24.37,13.47,31.56,33.32,21.64
919,47009010301,11.75,31.41,34.35,22.49,8.95,35.89,32.37,22.79,10.17,31.18,33.75,24.9
920,47009010302,15.06,29.2,33.06,22.68,12.74,27.18,34.7,25.38,14.37,30.37,30.15,25.11
921,47009011001,10.8,35.1,31.26,22.83,9.53,37.52,30.19,22.77,7.59,37.38,27.92,27.11
922,47009011301,10.72,40.97,29.5,18.81,9.21,40.32,32.23,18.24,12.69,34.37,34.93,18.0
923,47009011302,15.4,38.72,29.23,16.65,20.58,38.07,28.54,12.81,12.51,39.09,28.24,20.15
924,47009011401,16.16,41.14,26.46,16.24,19.1,39.29,22.66,18.95,17.68,29.22,27.42,25.69
925,47009011604,7.09,38.11,30.57,24.22,5.96,34.57,30.96,28.51,10.82,36.0,28.14,25.04
926,47009011402,12.13,39.77,26.39,21.7,13.67,40.65,24.84,20.84,11.62,46.38,21.51,20.48
927,47009011503,6.99,35.77,37.0,20.24,5.32,41.18,34.08,19.42,8.26,37.71,30.47,23.55
928,47009011603,17.68,34.68,32.92,14.72,17.57,35.78,32.09,14.55,13.09,46.45,27.46,13.0
929,47009011605,10.39,28.54,26.41,34.66,5.71,22.87,28.39,43.03,8.14,26.7,25.84,39.31
930,47009980200,0.0,0.0,0.0,100.0,0.0,66.67,33.33,0.0,0.0,66.67,33.33,0.0
